frame,timestamp_ms,face_id,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,0,1.143942881753901e-06,0.014178809709846973,0.031566865742206573,0.04199857637286186,0.3586887717247009,0.15411677956581116,1.0350800039304886e-05,3.656459739431739e-07,5.672449674420932e-07,0.024870535358786583,0.022499756887555122,0.12999683618545532,0.12912458181381226,0.002158487681299448,0.5024642944335938,0.4649915397167206,0.006551248487085104,0.0707225352525711,0.07234916090965271,0.19577401876449585,0.1800857037305832,0.0444234162569046,0.028529703617095947,0.0001006360471365042,0.00021141715114936233,0.0003871591470669955,3.377772372914478e-05,6.41841979813762e-05,0.0013521913206204772,0.0003364461590535939,0.021751685068011284,0.027028590440750122,0.0034348031040281057,0.0006121093174442649,0.00035149205359630287,0.0005083447904326022,0.007082789670675993,0.0022665627766400576,0.319627046585083,0.001196828088723123,0.00113774579949677,6.435347313527018e-05,0.009721019305288792,0.04489658400416374,0.0014204619219526649,0.0011658441508188844,0.013278214260935783,0.030733853578567505,0.0016531626461073756,0.0018433593213558197,1.3772992133453954e-05,1.450468630537216e-06
2,67,0,1.3752746781392489e-06,0.03129544109106064,0.03663862124085426,0.023301001638174057,0.23094095289707184,0.12263581156730652,8.585688192397356e-06,3.079570660702302e-07,6.1611524415639e-07,0.0373590849339962,0.03203732520341873,0.18213802576065063,0.18552802503108978,0.0019752185326069593,0.5477927327156067,0.5114588737487793,0.005065903067588806,0.04936272278428078,0.046003296971321106,0.22460325062274933,0.18376857042312622,0.028409380465745926,0.01873711496591568,8.829383295960724e-05,0.0002284343499923125,0.0004235676024109125,3.413629383430816e-05,9.563627099851146e-05,0.002365696243941784,0.000521806301549077,0.005876125302165747,0.00926592480391264,0.0028933798894286156,0.0005376211483962834,0.0002267372765345499,0.0003805144806392491,0.009753829799592495,0.0037898262962698936,0.26834651827812195,0.001712958444841206,0.0014977477258071303,8.48583658807911e-05,0.014980259351432323,0.048976726830005646,0.0017859183717519045,0.0018494706600904465,0.0048902276903390884,0.04557983949780464,0.001735040219500661,0.001655066735111177,1.0710830792959314e-05,1.3308878124007606e-06
4,134,0,1.7713010720399325e-06,0.05814419686794281,0.05064370110630989,0.013812949880957603,0.1484750360250473,0.08902797847986221,7.021199053269811e-06,3.162163864089962e-07,5.801808811156661e-07,0.06664405763149261,0.05138767510652542,0.24780628085136414,0.24834246933460236,0.002112217014655471,0.5687662363052368,0.539257824420929,0.0040674288757145405,0.03390495106577873,0.03065957874059677,0.2383950650691986,0.19455434381961823,0.013807149603962898,0.013634992763400078,5.7765344536164775e-05,0.00022427710064221174,0.00045660024625249207,4.30702420999296e-05,0.00015882043226156384,0.0035838577896356583,0.0008384677930735052,0.0022813829127699137,0.003934738226234913,0.0025448803789913654,0.00020466568821575493,0.00010374582052463666,0.00018842915596906096,0.017881961539387703,0.005636609625071287,0.2815365195274353,0.0077707357704639435,0.002140659373253584,0.00011248534428887069,0.03263358771800995,0.06157061457633972,0.0023360971827059984,0.0026255163829773664,0.0023231590166687965,0.035902705043554306,0.001535182585939765,0.0014422073727473617,8.734825314604677e-06,1.1242171922276611e-06
6,201,0,2.006392605835572e-06,0.07991103082895279,0.07260911911725998,0.007118506357073784,0.13660605251789093,0.06443944573402405,6.584219590877183e-06,2.9770131959594437e-07,5.472618340718327e-07,0.08869416266679764,0.06332112848758698,0.2893434762954712,0.2818058133125305,0.002110003028064966,0.582384467124939,0.5546995401382446,0.003583297599107027,0.02809232473373413,0.024223608896136284,0.23082120716571808,0.2074078917503357,0.010148560628294945,0.010990897193551064,5.018424053560011e-05,0.00016601569950580597,0.00045032118214294314,5.13150189362932e-05,0.00017658712749835104,0.004161864519119263,0.0011500298278406262,0.001877366448752582,0.003328317776322365,0.0022123828530311584,0.00017908841255120933,7.285419997060671e-05,0.00012785763829015195,0.02173110842704773,0.008142727427184582,0.24745458364486694,0.010230104438960552,0.002271752106025815,0.00011236024147365242,0.046746667474508286,0.07173489779233932,0.003431310411542654,0.004468182567507029,0.0021285484544932842,0.043906319886446,0.0016901472117751837,0.0018060894217342138,7.554081548732938e-06,9.96713197309873e-07
8,267,0,1.953950231836643e-06,0.09043791890144348,0.08062420040369034,0.005648683290928602,0.12799327075481415,0.06366731971502304,6.535224201797973e-06,2.8423792741705256e-07,5.328911356627941e-07,0.10082627087831497,0.0639382004737854,0.2836468815803528,0.2763180732727051,0.00226471945643425,0.5711461305618286,0.5441025495529175,0.003574536880478263,0.028386902064085007,0.024011092260479927,0.24540556967258453,0.195140540599823,0.009099118411540985,0.010340980254113674,5.104891533846967e-05,0.00015783293929416686,0.00043586231186054647,5.1494040235411376e-05,0.00015516011626459658,0.0034546360839158297,0.0012010260252282023,0.002285527531057596,0.004005833063274622,0.0019805035553872585,0.0002015899372054264,7.895142334746197e-05,0.0001262789883185178,0.021096238866448402,0.009785096161067486,0.20991899073123932,0.007858442142605782,0.0022684161085635424,0.00011452715989435092,0.04518655687570572,0.07069433480501175,0.0034470667596906424,0.004874423146247864,0.0023667654022574425,0.05123911425471306,0.0014726585941389203,0.0017348022665828466,7.449332770192996e-06,9.817604222916998e-07
10,334,0,1.7109787222580053e-06,0.07435327023267746,0.06787054985761642,0.006289958488196135,0.15126025676727295,0.07270656526088715,6.22923425908084e-06,2.8926800155204546e-07,4.699981559497246e-07,0.10086336731910706,0.06456407904624939,0.30771422386169434,0.29480108618736267,0.002304709516465664,0.5887579917907715,0.5704308152198792,0.002845632378011942,0.02667573280632496,0.021647552028298378,0.2538348138332367,0.2036096155643463,0.009046782739460468,0.010483253747224808,4.624169014277868e-05,0.00016302654694300145,0.0005160659202374518,5.758972838521004e-05,0.00019278661056887358,0.002576957456767559,0.0012946105562150478,0.002778267953544855,0.004642607644200325,0.0017211277736350894,0.00020288459199946374,7.886736420914531e-05,0.00010859214671654627,0.018033480271697044,0.011028924025595188,0.18183831870555878,0.007001308258622885,0.0023893166799098253,0.00014377935440279543,0.04023067280650139,0.06495259702205658,0.0028922685887664557,0.004508097190409899,0.0025818999856710434,0.04951997101306915,0.001079167821444571,0.001422201399691403,6.6780012275557965e-06,9.53790731728077e-07
12,401,0,2.08967298931384e-06,0.08732763677835464,0.07195164263248444,0.005267134867608547,0.1567130982875824,0.07459080964326859,6.403922270692419e-06,2.9616282404276717e-07,4.762227376886585e-07,0.08527682721614838,0.06321436166763306,0.32068389654159546,0.3084641993045807,0.0019739132840186357,0.6036120057106018,0.58465576171875,0.002919633174315095,0.025785448029637337,0.020106695592403412,0.2524223029613495,0.2233947217464447,0.011127432808279991,0.010249357670545578,4.3527164962142706e-05,0.00010981539526255801,0.000592775410041213,8.936817175708711e-05,0.0002452958142384887,0.0028032760601490736,0.0013236250961199403,0.0019979700446128845,0.003720536595210433,0.002030902076512575,0.0002096064854413271,7.24125056876801e-05,0.00010192069021286443,0.015690676867961884,0.010956945829093456,0.23298615217208862,0.008006764575839043,0.002686651423573494,0.00017431729065719992,0.04541466385126114,0.06359677016735077,0.0020795816089957952,0.003568751970306039,0.001700728083960712,0.05906696617603302,0.0011575622484087944,0.00152408832218498,6.030538315826561e-06,9.989922773456783e-07
14,468,0,2.1506323264475213e-06,0.08003540337085724,0.07644281536340714,0.0056305271573364735,0.16954879462718964,0.06640844792127609,7.034435839159414e-06,3.0798759098615847e-07,5.860220539943839e-07,0.0813518762588501,0.05800817534327507,0.3119942843914032,0.2995252013206482,0.0018610743572935462,0.6125027537345886,0.5952020883560181,0.0026756986044347286,0.025716057047247887,0.020855292677879333,0.2543536126613617,0.22737984359264374,0.011742593720555305,0.01114142406731844,5.560254794545472e-05,0.00010722698789322749,0.0005887664156034589,8.618315041530877e-05,0.00024485535686835647,0.003954432439059019,0.0009415478562004864,0.0016459530452266335,0.0032491646707057953,0.0025144494138658047,0.0001670909987296909,8.71076263138093e-05,0.00015440299466717988,0.020373988896608353,0.008357414044439793,0.23438864946365356,0.010518992319703102,0.0023004459217190742,0.00017577674589119852,0.03000042214989662,0.05083814635872841,0.0027901199646294117,0.0037876267451792955,0.001937636872753501,0.06470145285129547,0.0012844270095229149,0.0013481639325618744,7.2897373684099875e-06,1.1383078799553914e-06
16,535,0,2.1185906007303856e-06,0.05429145693778992,0.05313286557793617,0.007254672236740589,0.23154640197753906,0.10232986509799957,6.535785360028967e-06,2.7458085583020875e-07,4.912993745165295e-07,0.07633187621831894,0.05217684805393219,0.3099799156188965,0.29730716347694397,0.0026768757961690426,0.5142098665237427,0.4960891604423523,0.004443068988621235,0.02626621723175049,0.02066318318247795,0.260934978723526,0.1980040967464447,0.012831605039536953,0.011804046109318733,3.839491546386853e-05,0.00012561485345941037,0.0005126689211465418,6.888362986501306e-05,0.00020985266019124538,0.0032467793207615614,0.001022620010189712,0.0018180443439632654,0.003437780076637864,0.0019580491352826357,0.00020789101836271584,6.931595271453261e-05,9.966518700821325e-05,0.020471198484301567,0.010556057095527649,0.19394689798355103,0.009420030750334263,0.0024261625949293375,0.00017032475443556905,0.050575632601976395,0.0626019835472107,0.0021540862508118153,0.003031950443983078,0.001735930796712637,0.04279841110110283,0.0013410673709586263,0.0014991267817094922,6.710457910230616e-06,1.08136782728252e-06
18,602,0,2.2765839275962207e-06,0.036658305674791336,0.03730221465229988,0.0050932783633470535,0.3387990891933441,0.12871241569519043,6.164969818200916e-06,2.603115376587084e-07,5.181055939829093e-07,0.05948621779680252,0.03560898080468178,0.2896440923213959,0.2735724449157715,0.002244214992970228,0.5476893186569214,0.5317320823669434,0.003599935444071889,0.029105892404913902,0.022506915032863617,0.2548087537288666,0.15399132668972015,0.017399052157998085,0.015698373317718506,2.8927956009283662e-05,0.00013313723320607096,0.000592119584325701,6.83835314703174e-05,0.0002312366705155,0.0032948297448456287,0.0010266173630952835,0.0024060418363660574,0.004905282519757748,0.0015220229979604483,0.00021230759739410132,6.013527308823541e-05,7.494828605558723e-05,0.017760854214429855,0.011281770654022694,0.15469899773597717,0.009101105853915215,0.0029305806383490562,0.00021735655900556594,0.08732428401708603,0.07612909376621246,0.0014198586577549577,0.0020722667686641216,0.0014914135681465268,0.04006111994385719,0.001776168355718255,0.001975235529243946,6.191914962982992e-06,1.04371179077134e-06
