timestamp_ms,emotion,confidence,vectors_used,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,surprised,0.85,8,0.0,0.06446,0.06104,0.01363,0.18503,0.08845,1e-05,0.0,0.0,0.07324,0.05237,0.25917,0.25299,0.0021,0.57218,0.5456,0.00391,0.03608,0.03248,0.23695,0.20192,0.01723,0.01426,6e-05,0.00017,0.00048,6e-05,0.00017,0.00303,0.00095,0.00506,0.0074,0.00242,0.00029,0.00013,0.00021,0.01646,0.0075,0.24701,0.00679,0.00209,0.00012,0.03311,0.05966,0.00252,0.00336,0.0039,0.04758,0.00145,0.0016,1e-05,0.0
500,surprised,0.8,7,0.0,0.03113,0.03874,0.01335,0.28419,0.11026,1e-05,0.0,0.0,0.04814,0.03898,0.28431,0.281,0.00587,0.38081,0.382,0.01323,0.03257,0.02364,0.202,0.14039,0.02459,0.01525,3e-05,0.00022,0.00046,4e-05,0.00019,0.00213,0.00094,0.0035,0.00537,0.00157,0.0005,6e-05,6e-05,0.01332,0.01071,0.12885,0.00519,0.00187,0.00019,0.08085,0.07425,0.00181,0.00227,0.00287,0.02094,0.00359,0.00486,0.0,0.0
1000,surprised,0.75,8,0.0,0.03718,0.04234,0.0185,0.19392,0.10304,0.0,0.0,0.0,0.0417,0.04064,0.34267,0.33982,0.01913,0.14166,0.16796,0.03638,0.02786,0.02006,0.14709,0.13763,0.02891,0.01519,3e-05,0.00038,0.00019,1e-05,7e-05,0.00068,0.00074,0.00629,0.00845,0.00243,0.0013,8e-05,5e-05,0.00413,0.00869,0.1953,0.00095,0.00071,8e-05,0.06447,0.09295,0.00136,0.00175,0.00389,0.01147,0.00768,0.01055,0.0,0.0
1500,fearful,0.6,7,0.0,0.05989,0.07148,0.00642,0.12547,0.05299,1e-05,0.0,0.0,0.06222,0.07222,0.20612,0.22311,0.01043,0.18364,0.2113,0.02582,0.04617,0.03507,0.32214,0.25982,0.0152,0.00578,1e-05,0.00034,0.00095,2e-05,0.00046,0.00178,0.00131,0.00168,0.00224,0.00126,0.00123,3e-05,2e-05,0.01143,0.01397,0.09877,0.0014,0.00302,0.00041,0.19569,0.08065,0.00095,0.00096,0.00233,0.00419,0.00174,0.00275,0.0,0.0
2000,fearful,0.55,8,0.0,0.06048,0.05111,0.00667,0.12859,0.07598,0.0,0.0,0.0,0.05041,0.04774,0.25061,0.2616,0.01308,0.15925,0.18545,0.02885,0.03432,0.02428,0.26302,0.16177,0.01818,0.00762,1e-05,0.00035,0.00072,2e-05,0.00038,0.00155,0.00144,0.00134,0.00176,0.00145,0.00196,3e-05,2e-05,0.00949,0.01424,0.12971,0.00098,0.00204,0.00027,0.18115,0.08449,0.001,0.00109,0.00207,0.00373,0.00208,0.00322,0.0,0.0
2500,fearful,0.5,7,0.0,0.06979,0.06348,0.00771,0.10718,0.06842,0.0,0.0,0.0,0.04215,0.05123,0.24459,0.26484,0.01762,0.12273,0.15779,0.03756,0.03454,0.02626,0.2267,0.20519,0.0202,0.00866,1e-05,0.00035,0.00063,2e-05,0.00029,0.00131,0.00138,0.00143,0.00172,0.00144,0.00119,4e-05,2e-05,0.0086,0.01188,0.13393,0.00159,0.00193,0.00028,0.12598,0.06726,0.00084,0.00087,0.0023,0.00296,0.00183,0.00285,0.0,0.0
3000,surprised,0.85,8,0.0,0.05487,0.07069,0.01356,0.17367,0.085,1e-05,0.0,0.0,0.05349,0.06374,0.19828,0.22746,0.01976,0.08102,0.15783,0.05759,0.05083,0.03831,0.25207,0.21729,0.02153,0.00906,3e-05,0.00035,0.00051,2e-05,0.00018,0.0016,0.00098,0.00199,0.00248,0.00203,0.00072,0.00014,0.00015,0.00975,0.00904,0.15079,0.00235,0.00147,0.00024,0.06288,0.05495,0.00105,0.00093,0.003,0.00389,0.00198,0.00257,0.0,0.0
3500,surprised,0.85,7,0.0,0.10725,0.12609,0.00457,0.06622,0.03874,0.0,0.0,0.0,0.07253,0.07561,0.2408,0.26506,0.01878,0.09706,0.16759,0.05113,0.03837,0.02807,0.28289,0.22775,0.0145,0.00649,2e-05,0.00029,0.00054,2e-05,0.00027,0.00145,0.00109,0.0016,0.00215,0.00191,0.00071,4e-05,3e-05,0.00807,0.01001,0.14798,0.00265,0.00136,0.00024,0.08662,0.05935,0.00117,0.00127,0.00236,0.00507,0.00202,0.00299,0.0,0.0
4000,happy,0.95,8,0.0,0.08065,0.12269,0.00884,0.08,0.03687,1e-05,0.0,0.0,0.08049,0.08017,0.27445,0.28706,0.0183,0.11269,0.16769,0.0473,0.0329,0.02488,0.27655,0.23506,0.0132,0.00676,3e-05,0.00022,0.00034,1e-05,0.00017,0.00548,0.00285,0.00066,0.0009,0.00182,0.00196,4e-05,3e-05,0.022,0.0163,0.12787,0.00172,0.00089,0.00041,0.08048,0.04233,0.32312,0.30211,0.0035,0.00616,0.00764,0.01114,0.0,0.0
4500,happy,0.95,7,0.0,0.05618,0.10659,0.01551,0.10323,0.03994,3e-05,0.0,0.0,0.16309,0.15173,0.35875,0.37762,0.02866,0.08634,0.14753,0.08084,0.02913,0.01922,0.45343,0.3058,0.00732,0.00357,4e-05,9e-05,0.00029,1e-05,0.00011,0.00446,0.00673,0.00026,0.00029,0.00063,0.00152,5e-05,4e-05,0.02974,0.03784,0.02055,0.0017,0.00099,0.00141,0.1209,0.02805,0.84069,0.866,0.00835,0.02111,0.04967,0.07918,0.0,0.0
